id,id_bar,anio,semana,ESTRATO,area_barrio,dengue,concentraciones,vivienda,equipesado,sumideros,maquina,lluvia_mean,lluvia_var,lluvia_max,lluvia_min,temperatura_mean,temperatura_var,temperatura_max,temperatura_min
4_2015_01,4,2015,1,3.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
5_2015_01,5,2015,1,3.0,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
3_2015_01,3,2015,1,1.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
8_2015_01,8,2015,1,2.0,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
9_2015_01,9,2015,1,2.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
2_2015_01,2,2015,1,2.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
6_2015_01,6,2015,1,1.0,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
1_2015_01,1,2015,1,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
7_2015_01,7,2015,1,3.0,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
0_2015_01,0,2015,1,2.0,1.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0006510416666666666,4.069010416666667e-05,0.0625,0.0,26.163888888888888,11.588927875243662,31.8,20.900000000000002
4_2015_02,4,2015,2,3.0,0.56,2.0,0.0,2.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
5_2015_02,5,2015,2,3.0,0.842,1.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
3_2015_02,3,2015,2,1.0,0.781,1.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
8_2015_02,8,2015,2,2.0,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
9_2015_02,9,2015,2,2.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
2_2015_02,2,2015,2,2.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
6_2015_02,6,2015,2,1.0,0.381,2.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
1_2015_02,1,2015,2,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
7_2015_02,7,2015,2,3.0,0.917,4.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
0_2015_02,0,2015,2,2.0,1.196,3.0,0.0,0.0,0.0,0.0,0.0,0.05436507936507936,0.398706713557013,8.166666666666666,0.0,26.20654761904762,9.90599812280201,31.85,19.766666666666666
