id,dengue
0_2022_01,1.5
0_2022_02,0.18
0_2022_03,2.13
0_2022_04,1.04
0_2022_05,1.44
0_2022_06,1.93
0_2022_07,2.02
0_2022_08,2.15
0_2022_09,2.18
0_2022_10,2.18
0_2022_11,2.14
0_2022_12,2.27
0_2022_13,2.42
0_2022_14,2.58
0_2022_15,2.47
0_2022_16,2.4
0_2022_17,2.38
0_2022_18,2.6
0_2022_19,2.65
0_2022_20,2.66
0_2022_21,2.59
0_2022_22,2.57
0_2022_23,2.64
0_2022_24,2.67
0_2022_25,2.31
0_2022_26,2.4
0_2022_27,2.5
0_2022_28,2.49
0_2022_29,2.49
0_2022_30,2.71
0_2022_31,2.47
0_2022_32,2.22
0_2022_33,2.29
0_2022_34,2.33
0_2022_35,2.16
0_2022_36,2.23
0_2022_37,2.21
0_2022_38,2.17
0_2022_39,2.07
0_2022_40,2.11
0_2022_41,2.12
0_2022_42,2.08
0_2022_43,2.18
0_2022_44,2.1
0_2022_45,2.0
0_2022_46,2.02
0_2022_47,2.08
0_2022_48,2.11
0_2022_49,2.07
0_2022_50,2.04
0_2022_51,2.06
0_2022_52,2.08
1_2022_01,0.26
1_2022_02,0.55
1_2022_03,0.53
1_2022_04,0.76
1_2022_05,0.4
1_2022_06,1.07
1_2022_07,0.5
1_2022_08,0.77
1_2022_09,0.96
1_2022_10,0.9
1_2022_11,0.83
1_2022_12,1.08
1_2022_13,0.97
1_2022_14,1.0
1_2022_15,1.12
1_2022_16,1.02
1_2022_17,1.11
1_2022_18,1.11
1_2022_19,1.2
1_2022_20,1.17
1_2022_21,1.24
1_2022_22,1.35
1_2022_23,1.39
1_2022_24,1.37
1_2022_25,1.44
1_2022_26,1.62
1_2022_27,1.53
1_2022_28,1.44
1_2022_29,1.5
1_2022_30,1.77
1_2022_31,1.61
1_2022_32,1.63
1_2022_33,1.63
1_2022_34,1.68
1_2022_35,1.49
1_2022_36,1.51
1_2022_37,1.61
1_2022_38,1.59
1_2022_39,1.56
1_2022_40,1.6
1_2022_41,1.53
1_2022_42,1.51
1_2022_43,1.47
1_2022_44,1.39
1_2022_45,1.52
1_2022_46,1.45
1_2022_47,1.47
1_2022_48,1.48
1_2022_49,1.45
1_2022_50,1.46
1_2022_51,1.47
1_2022_52,1.37
2_2022_01,0.04
2_2022_02,0.3
2_2022_03,0.64
2_2022_04,0.92
2_2022_05,1.19
2_2022_06,1.18
2_2022_07,1.27
2_2022_08,1.47
2_2022_09,1.09
2_2022_10,1.48
2_2022_11,1.45
2_2022_12,1.54
2_2022_13,1.4
2_2022_14,1.44
2_2022_15,1.47
2_2022_16,1.53
2_2022_17,1.68
2_2022_18,1.62
2_2022_19,1.75
2_2022_20,1.71
2_2022_21,1.61
2_2022_22,1.83
2_2022_23,1.64
2_2022_24,1.63
2_2022_25,1.56
2_2022_26,1.6
2_2022_27,1.73
2_2022_28,1.7
2_2022_29,1.67
2_2022_30,1.91
2_2022_31,1.78
2_2022_32,1.6
2_2022_33,1.75
2_2022_34,1.56
2_2022_35,1.63
2_2022_36,1.59
2_2022_37,1.5
2_2022_38,1.61
2_2022_39,1.6
2_2022_40,1.52
2_2022_41,1.45
2_2022_42,1.5
2_2022_43,1.24
2_2022_44,1.26
2_2022_45,1.39
2_2022_46,1.3
2_2022_47,1.35
2_2022_48,1.45
2_2022_49,1.37
2_2022_50,1.33
2_2022_51,1.39
2_2022_52,1.48
3_2022_01,1.03
3_2022_02,1.1
3_2022_03,1.79
3_2022_04,2.53
3_2022_05,2.2
3_2022_06,2.08
3_2022_07,2.4
3_2022_08,2.8
3_2022_09,2.71
3_2022_10,2.57
3_2022_11,2.61
3_2022_12,2.62
3_2022_13,2.81
3_2022_14,2.85
3_2022_15,2.83
3_2022_16,2.79
3_2022_17,2.97
3_2022_18,3.03
3_2022_19,3.23
3_2022_20,3.05
3_2022_21,3.12
3_2022_22,3.12
3_2022_23,2.93
3_2022_24,2.56
3_2022_25,2.58
3_2022_26,2.8
3_2022_27,2.8
3_2022_28,3.01
3_2022_29,2.36
3_2022_30,2.63
3_2022_31,2.75
3_2022_32,2.4
3_2022_33,2.37
3_2022_34,2.46
3_2022_35,2.3
3_2022_36,2.39
3_2022_37,2.01
3_2022_38,2.14
3_2022_39,2.34
3_2022_40,2.41
3_2022_41,2.19
3_2022_42,2.16
3_2022_43,1.74
3_2022_44,2.22
3_2022_45,2.15
3_2022_46,2.1
