id,dengue
0_2022_01,1
0_2022_02,2
0_2022_03,2
0_2022_04,2
0_2022_05,2
0_2022_06,2
0_2022_07,2
0_2022_08,2
0_2022_09,2
0_2022_10,2
0_2022_11,2
0_2022_12,2
0_2022_13,2
0_2022_14,2
0_2022_15,2
0_2022_16,2
0_2022_17,2
0_2022_18,2
0_2022_19,2
0_2022_20,2
0_2022_21,2
0_2022_22,2
0_2022_23,2
0_2022_24,2
0_2022_25,2
0_2022_26,2
0_2022_27,2
0_2022_28,2
0_2022_29,2
0_2022_30,2
0_2022_31,2
0_2022_32,2
0_2022_33,2
0_2022_34,2
0_2022_35,2
0_2022_36,2
0_2022_37,2
0_2022_38,2
0_2022_39,2
0_2022_40,2
0_2022_41,2
0_2022_42,2
0_2022_43,2
0_2022_44,2
0_2022_45,2
0_2022_46,2
0_2022_47,2
0_2022_48,2
0_2022_49,2
0_2022_50,2
0_2022_51,2
0_2022_52,2
1_2022_01,1
1_2022_02,1
1_2022_03,1
1_2022_04,2
1_2022_05,2
1_2022_06,2
1_2022_07,2
1_2022_08,2
1_2022_09,2
1_2022_10,2
1_2022_11,2
1_2022_12,2
1_2022_13,2
1_2022_14,2
1_2022_15,2
1_2022_16,2
1_2022_17,2
1_2022_18,2
1_2022_19,2
1_2022_20,2
1_2022_21,2
1_2022_22,2
1_2022_23,2
1_2022_24,2
1_2022_25,2
1_2022_26,2
1_2022_27,2
1_2022_28,2
1_2022_29,2
1_2022_30,2
1_2022_31,2
1_2022_32,2
1_2022_33,2
1_2022_34,1
1_2022_35,1
1_2022_36,1
1_2022_37,1
1_2022_38,1
1_2022_39,1
1_2022_40,1
1_2022_41,1
1_2022_42,1
1_2022_43,1
1_2022_44,1
1_2022_45,1
1_2022_46,1
1_2022_47,1
1_2022_48,1
1_2022_49,1
1_2022_50,1
1_2022_51,1
1_2022_52,1
2_2022_01,1
2_2022_02,1
2_2022_03,1
2_2022_04,1
2_2022_05,1
2_2022_06,1
2_2022_07,2
2_2022_08,2
2_2022_09,2
2_2022_10,1
2_2022_11,1
2_2022_12,1
2_2022_13,1
2_2022_14,1
2_2022_15,1
2_2022_16,1
2_2022_17,1
2_2022_18,1
2_2022_19,1
2_2022_20,1
2_2022_21,1
2_2022_22,1
2_2022_23,1
2_2022_24,1
2_2022_25,1
2_2022_26,1
2_2022_27,1
2_2022_28,1
2_2022_29,1
2_2022_30,1
2_2022_31,1
2_2022_32,1
2_2022_33,1
2_2022_34,1
2_2022_35,1
2_2022_36,1
2_2022_37,1
2_2022_38,1
2_2022_39,1
2_2022_40,1
2_2022_41,1
2_2022_42,1
2_2022_43,1
2_2022_44,1
2_2022_45,1
2_2022_46,1
2_2022_47,1
2_2022_48,1
2_2022_49,1
2_2022_50,1
2_2022_51,1
2_2022_52,1
3_2022_01,1
3_2022_02,1
3_2022_03,1
3_2022_04,1
3_2022_05,1
3_2022_06,2
3_2022_07,2
3_2022_08,2
3_2022_09,2
3_2022_10,2
3_2022_11,2
3_2022_12,2
3_2022_13,2
3_2022_14,2
3_2022_15,2
3_2022_16,2
3_2022_17,2
3_2022_18,2
3_2022_19,2
3_2022_20,2
3_2022_21,2
3_2022_22,2
3_2022_23,2
3_2022_24,2
3_2022_25,2
3_2022_26,2
3_2022_27,2
3_2022_28,3
3_2022_29,3
3_2022_30,3
3_2022_31,3
3_2022_32,3
3_2022_33,3
3_2022_34,3
3_2022_35,3
3_2022_36,3
3_2022_37,4
3_2022_38,4
3_2022_39,4
3_2022_40,4
3_2022_41,4
3_2022_42,5
3_2022_43,5
3_2022_44,6
3_2022_45,6
3_2022_46,7
3_2022_47,8
3_2022_48,9
3_2022_49,10
3_2022_50,11
3_2022_51,11
3_2022_52,11
4_2022_01,0
4_2022_02,1
4_2022_03,1
4_2022_04,1
4_2022_05,1
4_2022_06,2
4_2022_07,2
4_2022_08,2
4_2022_09,2
4_2022_10,1
4_2022_11,1
4_2022_12,1
4_2022_13,1
4_2022_14,1
4_2022_15,1
4_2022_16,1
4_2022_17,1
4_2022_18,1
4_2022_19,1
4_2022_20,1
4_2022_21,1
4_2022_22,1
4_2022_23,1
4_2022_24,1
4_2022_25,1
4_2022_26,1
4_2022_27,1
4_2022_28,1
4_2022_29,1
4_2022_30,1
4_2022_31,1
4_2022_32,1
4_2022_33,1
4_2022_34,1
4_2022_35,1
4_2022_36,1
4_2022_37,1
4_2022_38,1
4_2022_39,1
4_2022_40,1
4_2022_41,1
4_2022_42,1
4_2022_43,1
4_2022_44,1
4_2022_45,1
4_2022_46,1
4_2022_47,1
4_2022_48,1
4_2022_49,1
4_2022_50,1
4_2022_51,1
4_2022_52,1
5_2022_01,1
5_2022_02,1
5_2022_03,1
5_2022_04,1
5_2022_05,1
5_2022_06,2
5_2022_07,2
5_2022_08,2
5_2022_09,2
5_2022_10,2
5_2022_11,2
5_2022_12,2
5_2022_13,1
5_2022_14,1
5_2022_15,1
5_2022_16,1
5_2022_17,1
5_2022_18,1
5_2022_19,1
5_2022_20,1
5_2022_21,1
5_2022_22,1
5_2022_23,1
5_2022_24,1
5_2022_25,1
5_2022_26,1
5_2022_27,1
5_2022_28,1
5_2022_29,1
5_2022_30,1
5_2022_31,1
5_2022_32,1
5_2022_33,1
5_2022_34,1
5_2022_35,1
5_2022_36,1
5_2022_37,1
5_2022_38,1
5_2022_39,1
5_2022_40,1
5_2022_41,1
5_2022_42,1
5_2022_43,1
5_2022_44,1
5_2022_45,1
5_2022_46,1
5_2022_47,1
5_2022_48,1
5_2022_49,1
5_2022_50,1
5_2022_51,1
5_2022_52,1
6_2022_01,0
6_2022_02,1
6_2022_03,1
6_2022_04,1
6_2022_05,1
6_2022_06,1
6_2022_07,1
6_2022_08,1
6_2022_09,1
6_2022_10,1
6_2022_11,1
6_2022_12,1
6_2022_13,1
6_2022_14,1
6_2022_15,1
6_2022_16,1
6_2022_17,1
6_2022_18,1
