id,dengue
0_2022_01,0
0_2022_02,2
0_2022_03,2
0_2022_04,2
0_2022_05,2
0_2022_06,4
0_2022_07,3
0_2022_08,2
0_2022_09,1
0_2022_10,2
0_2022_11,0
0_2022_12,1
0_2022_13,2
0_2022_14,1
0_2022_15,1
0_2022_16,2
0_2022_17,1
0_2022_18,1
0_2022_19,1
0_2022_20,1
0_2022_21,1
0_2022_22,1
0_2022_23,1
0_2022_24,1
0_2022_25,1
0_2022_26,1
0_2022_27,1
0_2022_28,1
0_2022_29,1
0_2022_30,1
0_2022_31,1
0_2022_32,1
0_2022_33,1
0_2022_34,1
0_2022_35,1
0_2022_36,1
0_2022_37,1
0_2022_38,1
0_2022_39,1
0_2022_40,1
0_2022_41,1
0_2022_42,1
0_2022_43,1
0_2022_44,1
0_2022_45,1
0_2022_46,1
0_2022_47,1
0_2022_48,1
0_2022_49,1
0_2022_50,1
0_2022_51,1
0_2022_52,1
1_2022_01,0
1_2022_02,3
1_2022_03,1
1_2022_04,3
1_2022_05,1
1_2022_06,3
1_2022_07,3
1_2022_08,0
1_2022_09,1
1_2022_10,4
1_2022_11,0
1_2022_12,3
1_2022_13,3
1_2022_14,0
1_2022_15,1
1_2022_16,2
1_2022_17,0
1_2022_18,2
1_2022_19,1
1_2022_20,1
1_2022_21,1
1_2022_22,1
1_2022_23,1
1_2022_24,1
1_2022_25,1
1_2022_26,1
1_2022_27,1
1_2022_28,1
1_2022_29,1
1_2022_30,1
1_2022_31,1
1_2022_32,1
1_2022_33,1
1_2022_34,1
1_2022_35,1
1_2022_36,1
1_2022_37,1
1_2022_38,1
1_2022_39,1
1_2022_40,1
1_2022_41,1
1_2022_42,1
1_2022_43,1
1_2022_44,1
1_2022_45,1
1_2022_46,1
1_2022_47,1
1_2022_48,1
1_2022_49,1
1_2022_50,1
1_2022_51,1
1_2022_52,1
2_2022_01,1
2_2022_02,1
2_2022_03,1
2_2022_04,1
2_2022_05,3
2_2022_06,3
2_2022_07,1
2_2022_08,3
2_2022_09,3
2_2022_10,2
2_2022_11,3
2_2022_12,2
2_2022_13,2
2_2022_14,1
2_2022_15,1
2_2022_16,1
2_2022_17,1
2_2022_18,1
2_2022_19,1
2_2022_20,1
2_2022_21,1
2_2022_22,1
2_2022_23,1
2_2022_24,1
2_2022_25,1
2_2022_26,1
2_2022_27,1
2_2022_28,1
2_2022_29,1
2_2022_30,0
2_2022_31,0
2_2022_32,0
2_2022_33,0
2_2022_34,0
2_2022_35,0
2_2022_36,0
2_2022_37,0
2_2022_38,0
2_2022_39,0
2_2022_40,0
2_2022_41,0
2_2022_42,0
2_2022_43,0
2_2022_44,0
2_2022_45,0
2_2022_46,0
2_2022_47,0
2_2022_48,0
2_2022_49,0
