id,dengue
0_2022_01,0.98
0_2022_02,0.98
0_2022_03,0.98
0_2022_04,0.97
0_2022_05,0.98
0_2022_06,0.98
0_2022_07,0.97
0_2022_08,0.98
0_2022_09,0.98
0_2022_10,0.97
0_2022_11,0.98
0_2022_12,0.98
0_2022_13,0.97
0_2022_14,0.97
0_2022_15,0.97
0_2022_16,0.98
0_2022_17,0.97
0_2022_18,0.98
0_2022_19,0.98
0_2022_20,0.98
0_2022_21,0.98
0_2022_22,0.98
0_2022_23,0.98
0_2022_24,0.98
0_2022_25,0.98
0_2022_26,0.98
0_2022_27,0.98
0_2022_28,0.98
0_2022_29,0.98
0_2022_30,0.98
0_2022_31,0.98
0_2022_32,0.98
0_2022_33,0.97
0_2022_34,0.98
0_2022_35,0.97
0_2022_36,0.98
0_2022_37,0.98
0_2022_38,0.98
0_2022_39,0.98
0_2022_40,0.98
0_2022_41,0.98
0_2022_42,0.98
0_2022_43,0.98
0_2022_44,0.98
0_2022_45,0.98
0_2022_46,0.98
0_2022_47,0.98
0_2022_48,0.98
0_2022_49,0.98
0_2022_50,0.98
0_2022_51,0.98
0_2022_52,0.98
1_2022_01,0.71
1_2022_02,0.71
1_2022_03,0.71
1_2022_04,0.71
1_2022_05,0.71
1_2022_06,0.71
1_2022_07,0.71
1_2022_08,0.71
1_2022_09,0.71
1_2022_10,0.71
1_2022_11,0.71
1_2022_12,0.71
1_2022_13,0.71
1_2022_14,0.71
1_2022_15,0.71
1_2022_16,0.71
1_2022_17,0.71
1_2022_18,0.71
1_2022_19,0.71
1_2022_20,0.71
1_2022_21,0.71
1_2022_22,0.71
1_2022_23,0.71
1_2022_24,0.71
1_2022_25,0.71
1_2022_26,0.71
1_2022_27,0.71
1_2022_28,0.71
1_2022_29,0.71
1_2022_30,0.71
1_2022_31,0.71
1_2022_32,0.71
1_2022_33,0.71
1_2022_34,0.71
1_2022_35,0.71
1_2022_36,0.71
1_2022_37,0.71
1_2022_38,0.71
1_2022_39,0.71
1_2022_40,0.71
1_2022_41,0.71
1_2022_42,0.71
1_2022_43,0.71
1_2022_44,0.71
1_2022_45,0.71
1_2022_46,0.71
1_2022_47,0.71
1_2022_48,0.71
1_2022_49,0.71
1_2022_50,0.71
1_2022_51,0.71
1_2022_52,0.71
2_2022_01,0.81
2_2022_02,0.81
2_2022_03,0.81
2_2022_04,0.81
2_2022_05,0.81
2_2022_06,0.81
2_2022_07,0.81
2_2022_08,0.81
2_2022_09,0.81
2_2022_10,0.81
2_2022_11,0.81
2_2022_12,0.81
2_2022_13,0.81
2_2022_14,0.81
2_2022_15,0.81
2_2022_16,0.81
2_2022_17,0.81
2_2022_18,0.81
2_2022_19,0.81
2_2022_20,0.81
2_2022_21,0.81
2_2022_22,0.81
2_2022_23,0.81
2_2022_24,0.81
2_2022_25,0.81
2_2022_26,0.81
2_2022_27,0.81
2_2022_28,0.81
2_2022_29,0.81
2_2022_30,0.81
2_2022_31,0.81
2_2022_32,0.81
2_2022_33,0.81
2_2022_34,0.81
2_2022_35,0.81
2_2022_36,0.81
2_2022_37,0.81
2_2022_38,0.81
2_2022_39,0.81
2_2022_40,0.81
2_2022_41,0.81
2_2022_42,0.81
2_2022_43,0.81
2_2022_44,0.81
2_2022_45,0.81
2_2022_46,0.81
2_2022_47,0.81
2_2022_48,0.81
2_2022_49,0.81
2_2022_50,0.81
2_2022_51,0.81
2_2022_52,0.81
3_2022_01,0.71
3_2022_02,0.71
3_2022_03,0.71
3_2022_04,0.71
3_2022_05,0.71
3_2022_06,0.71
3_2022_07,0.71
3_2022_08,0.71
3_2022_09,0.71
3_2022_10,0.71
3_2022_11,0.71
3_2022_12,0.71
3_2022_13,0.71
3_2022_14,0.71
3_2022_15,0.71
3_2022_16,0.71
3_2022_17,0.71
3_2022_18,0.71
3_2022_19,0.71
3_2022_20,0.71
3_2022_21,0.71
3_2022_22,0.71
3_2022_23,0.71
3_2022_24,0.71
3_2022_25,0.71
3_2022_26,0.71
3_2022_27,0.71
3_2022_28,0.71
3_2022_29,0.71
3_2022_30,0.71
3_2022_31,0.71
3_2022_32,0.71
3_2022_33,0.71
3_2022_34,0.71
3_2022_35,0.71
3_2022_36,0.71
3_2022_37,0.71
3_2022_38,0.71
3_2022_39,0.71
3_2022_40,0.71
3_2022_41,0.71
3_2022_42,0.71
3_2022_43,0.71
3_2022_44,0.71
3_2022_45,0.71
3_2022_46,0.71
3_2022_47,0.71
3_2022_48,0.71
3_2022_49,0.71
3_2022_50,0.71
3_2022_51,0.71
3_2022_52,0.71
4_2022_01,0.7
4_2022_02,0.7
4_2022_03,0.7
4_2022_04,0.7
4_2022_05,0.7
4_2022_06,0.7
4_2022_07,0.7
4_2022_08,0.7
4_2022_09,0.7
4_2022_10,0.7
4_2022_11,0.7
4_2022_12,0.7
4_2022_13,0.7
4_2022_14,0.7
4_2022_15,0.7
4_2022_16,0.7
4_2022_17,0.7
4_2022_18,0.7
4_2022_19,0.7
4_2022_20,0.7
4_2022_21,0.7
