id,dengue
0_2022_01,4.34
0_2022_02,7.69
0_2022_03,11.26
0_2022_04,3.69
0_2022_05,6.33
0_2022_06,5.0
0_2022_07,2.78
0_2022_08,2.82
0_2022_09,1.45
0_2022_10,5.11
0_2022_11,1.19
0_2022_12,1.16
0_2022_13,1.03
0_2022_14,0.77
0_2022_15,1.22
0_2022_16,1.33
0_2022_17,2.2
0_2022_18,1.75
0_2022_19,2.73
0_2022_20,2.0
0_2022_21,4.45
0_2022_22,5.2
0_2022_23,1.88
0_2022_24,1.6
0_2022_25,3.64
0_2022_26,2.26
0_2022_27,1.71
0_2022_28,0.65
0_2022_29,0.86
0_2022_30,0.64
0_2022_31,0.67
0_2022_32,0.57
0_2022_33,0.69
0_2022_34,0.63
0_2022_35,0.61
0_2022_36,0.7
0_2022_37,0.69
0_2022_38,0.65
0_2022_39,0.88
0_2022_40,0.65
0_2022_41,0.9
0_2022_42,0.5
0_2022_43,0.27
0_2022_44,0.4
0_2022_45,0.54
0_2022_46,0.45
0_2022_47,0.34
0_2022_48,0.67
0_2022_49,0.99
0_2022_50,0.66
0_2022_51,0.6
0_2022_52,0.5
1_2022_01,0.91
1_2022_02,1.15
1_2022_03,0.32
1_2022_04,0.9
1_2022_05,0.38
1_2022_06,0.66
1_2022_07,0.61
1_2022_08,0.72
1_2022_09,0.57
1_2022_10,0.15
1_2022_11,0.4
1_2022_12,0.87
1_2022_13,0.97
1_2022_14,0.99
1_2022_15,0.97
1_2022_16,1.36
1_2022_17,1.02
1_2022_18,0.83
1_2022_19,1.12
1_2022_20,1.04
1_2022_21,0.72
1_2022_22,0.73
1_2022_23,0.18
1_2022_24,0.43
1_2022_25,0.61
1_2022_26,0.52
1_2022_27,0.47
1_2022_28,1.01
1_2022_29,1.13
1_2022_30,1.07
1_2022_31,1.73
1_2022_32,2.15
1_2022_33,1.94
1_2022_34,2.05
1_2022_35,2.16
1_2022_36,1.96
1_2022_37,2.33
1_2022_38,1.76
1_2022_39,1.33
1_2022_40,1.48
1_2022_41,1.86
1_2022_42,1.86
1_2022_43,1.24
1_2022_44,0.84
1_2022_45,1.07
1_2022_46,0.48
1_2022_47,0.81
1_2022_48,1.77
1_2022_49,0.07
1_2022_50,0.78
1_2022_51,0.75
1_2022_52,0.69
2_2022_01,0.88
2_2022_02,1.08
2_2022_03,0.33
2_2022_04,1.61
2_2022_05,1.34
2_2022_06,1.61
2_2022_07,1.34
2_2022_08,1.42
2_2022_09,1.02
2_2022_10,0.53
2_2022_11,1.41
2_2022_12,0.92
2_2022_13,0.87
2_2022_14,0.9
2_2022_15,0.89
2_2022_16,0.85
2_2022_17,0.96
2_2022_18,0.65
2_2022_19,2.18
2_2022_20,1.06
2_2022_21,1.28
2_2022_22,1.44
2_2022_23,0.85
2_2022_24,1.18
2_2022_25,1.54
2_2022_26,1.47
2_2022_27,1.84
2_2022_28,1.34
2_2022_29,0.82
2_2022_30,0.36
2_2022_31,0.96
2_2022_32,0.98
2_2022_33,2.81
2_2022_34,2.38
2_2022_35,2.25
2_2022_36,0.98
2_2022_37,0.84
2_2022_38,1.3
2_2022_39,1.38
2_2022_40,2.37
2_2022_41,2.87
2_2022_42,0.95
2_2022_43,1.14
2_2022_44,0.45
2_2022_45,1.08
2_2022_46,0.75
2_2022_47,1.91
2_2022_48,0.64
2_2022_49,0.47
2_2022_50,0.48
2_2022_51,0.91
2_2022_52,0.49
3_2022_01,0.65
3_2022_02,0.85
3_2022_03,0.78
3_2022_04,1.67
3_2022_05,0.74
3_2022_06,0.83
3_2022_07,0.9
3_2022_08,0.64
3_2022_09,0.32
3_2022_10,0.34
3_2022_11,1.14
3_2022_12,1.39
3_2022_13,1.81
3_2022_14,1.76
3_2022_15,1.89
3_2022_16,2.3
3_2022_17,1.44
3_2022_18,1.03
3_2022_19,1.61
3_2022_20,1.34
3_2022_21,1.32
3_2022_22,1.17
3_2022_23,1.03
3_2022_24,1.34
3_2022_25,1.56
3_2022_26,1.51
3_2022_27,0.87
3_2022_28,1.43
3_2022_29,1.72
3_2022_30,1.39
3_2022_31,1.87
3_2022_32,1.12
3_2022_33,1.0
3_2022_34,1.4
3_2022_35,0.72
3_2022_36,0.89
3_2022_37,1.64
3_2022_38,2.17
3_2022_39,1.88
3_2022_40,2.7
3_2022_41,2.3
3_2022_42,1.19
3_2022_43,0.47
3_2022_44,0.55
3_2022_45,0.72
