id,dengue
0_2022_01,2.39
0_2022_02,0.27
0_2022_03,0.0
0_2022_04,2.13
0_2022_05,2.66
0_2022_06,2.05
0_2022_07,2.07
0_2022_08,2.44
0_2022_09,2.49
0_2022_10,2.27
0_2022_11,2.15
0_2022_12,2.08
0_2022_13,2.02
0_2022_14,1.68
0_2022_15,1.73
0_2022_16,1.81
0_2022_17,1.64
0_2022_18,1.71
0_2022_19,1.8
0_2022_20,1.62
0_2022_21,1.64
0_2022_22,1.96
0_2022_23,1.91
0_2022_24,1.6
0_2022_25,1.62
0_2022_26,2.03
0_2022_27,2.16
0_2022_28,2.31
0_2022_29,2.55
0_2022_30,2.47
0_2022_31,2.28
0_2022_32,1.86
0_2022_33,1.76
0_2022_34,1.67
0_2022_35,1.59
0_2022_36,1.58
0_2022_37,1.76
0_2022_38,2.32
0_2022_39,1.83
0_2022_40,1.58
0_2022_41,1.64
0_2022_42,1.89
0_2022_43,2.51
0_2022_44,1.86
0_2022_45,2.26
0_2022_46,2.22
0_2022_47,1.95
0_2022_48,1.84
0_2022_49,1.93
0_2022_50,2.13
0_2022_51,2.22
0_2022_52,1.71
1_2022_01,0.55
1_2022_02,0.99
1_2022_03,0.82
1_2022_04,1.7
1_2022_05,2.28
1_2022_06,2.13
1_2022_07,2.42
1_2022_08,2.41
1_2022_09,2.49
1_2022_10,2.27
1_2022_11,2.15
1_2022_12,2.08
1_2022_13,2.02
1_2022_14,1.68
1_2022_15,1.73
1_2022_16,1.81
1_2022_17,1.64
1_2022_18,1.71
1_2022_19,1.8
1_2022_20,1.62
1_2022_21,1.64
1_2022_22,1.96
1_2022_23,1.91
1_2022_24,1.6
1_2022_25,1.62
1_2022_26,2.03
1_2022_27,2.16
1_2022_28,2.31
1_2022_29,2.55
1_2022_30,2.47
1_2022_31,2.28
1_2022_32,1.86
1_2022_33,1.76
1_2022_34,1.67
1_2022_35,1.59
1_2022_36,1.58
1_2022_37,1.76
1_2022_38,2.32
1_2022_39,1.83
1_2022_40,1.58
1_2022_41,1.64
1_2022_42,1.89
1_2022_43,2.51
1_2022_44,1.86
1_2022_45,2.26
1_2022_46,2.22
1_2022_47,1.95
1_2022_48,1.84
1_2022_49,1.93
1_2022_50,2.13
1_2022_51,2.22
1_2022_52,1.71
2_2022_01,0.29
2_2022_02,0.0
2_2022_03,0.0
2_2022_04,1.49
2_2022_05,1.95
2_2022_06,1.81
2_2022_07,2.04
2_2022_08,2.44
2_2022_09,2.49
2_2022_10,2.27
2_2022_11,2.15
2_2022_12,2.08
2_2022_13,2.02
2_2022_14,1.68
2_2022_15,1.73
2_2022_16,1.81
2_2022_17,1.64
2_2022_18,1.71
2_2022_19,1.8
2_2022_20,1.62
2_2022_21,1.64
2_2022_22,1.96
2_2022_23,1.91
2_2022_24,1.6
2_2022_25,1.62
2_2022_26,2.03
2_2022_27,2.16
2_2022_28,2.31
2_2022_29,2.55
2_2022_30,2.47
2_2022_31,2.28
2_2022_32,1.86
2_2022_33,1.76
2_2022_34,1.67
2_2022_35,1.59
2_2022_36,1.58
2_2022_37,1.76
2_2022_38,2.32
2_2022_39,1.83
2_2022_40,1.58
2_2022_41,1.64
2_2022_42,1.89
2_2022_43,2.51
2_2022_44,1.86
2_2022_45,2.26
2_2022_46,2.22
2_2022_47,1.95
2_2022_48,1.84
2_2022_49,1.93
2_2022_50,2.13
2_2022_51,2.22
2_2022_52,1.71
3_2022_01,0.27
3_2022_02,0.57
3_2022_03,0.0
3_2022_04,1.77
3_2022_05,2.22
3_2022_06,2.22
3_2022_07,2.07
3_2022_08,2.44
3_2022_09,2.49
3_2022_10,2.27
3_2022_11,2.15
3_2022_12,2.08
3_2022_13,2.02
3_2022_14,1.68
3_2022_15,1.73
3_2022_16,1.81
3_2022_17,1.64
3_2022_18,1.71
3_2022_19,1.8
3_2022_20,1.62
3_2022_21,1.64
3_2022_22,1.96
3_2022_23,1.91
3_2022_24,1.6
3_2022_25,1.62
3_2022_26,2.03
3_2022_27,2.16
3_2022_28,2.31
3_2022_29,2.55
3_2022_30,2.47
3_2022_31,2.28
3_2022_32,1.86
3_2022_33,1.76
3_2022_34,1.67
3_2022_35,1.59
3_2022_36,1.58
3_2022_37,1.76
3_2022_38,2.32
3_2022_39,1.83
3_2022_40,1.58
3_2022_41,1.64
3_2022_42,1.89
3_2022_43,2.51
3_2022_44,1.86
3_2022_45,2.26
3_2022_46,2.22
3_2022_47,1.95
3_2022_48,1.84
3_2022_49,1.93
3_2022_50,2.13
3_2022_51,2.22
3_2022_52,1.71
4_2022_01,1.05
4_2022_02,0.48
4_2022_03,0.0
4_2022_04,1.81
4_2022_05,2.33
4_2022_06,2.23
4_2022_07,2.07
4_2022_08,2.44
4_2022_09,2.49
4_2022_10,2.27
4_2022_11,2.15
4_2022_12,2.08
4_2022_13,2.02
4_2022_14,1.68
4_2022_15,1.73
4_2022_16,1.81
