id,dengue
0_2022_01,0.8680639
0_2022_02,1.4854236
0_2022_03,0.9917832
0_2022_04,0.8507356
0_2022_05,1.2803335
0_2022_06,1.6919651
0_2022_07,1.2570748
0_2022_08,1.4799399
0_2022_09,1.1609111
0_2022_10,1.43893
0_2022_11,0.9158552
0_2022_12,1.3148265
0_2022_13,1.9817233
0_2022_14,1.609762
0_2022_15,1.3591197
0_2022_16,1.2226291
0_2022_17,1.3616557
0_2022_18,1.1554587
0_2022_19,0.9833221
0_2022_20,1.0423965
0_2022_21,1.559392
0_2022_22,1.0449083
0_2022_23,0.9877235
0_2022_24,0.8725306
0_2022_25,1.2760652
0_2022_26,1.0361251
0_2022_27,1.1134146
0_2022_28,0.81769747
0_2022_29,0.93573016
0_2022_30,0.73309785
0_2022_31,0.7938598
0_2022_32,0.62364405
0_2022_33,0.67678607
0_2022_34,0.6354273
0_2022_35,0.64823496
0_2022_36,0.56470746
0_2022_37,0.7073409
0_2022_38,0.566593
0_2022_39,0.54016805
0_2022_40,0.5430653
0_2022_41,0.6323968
0_2022_42,0.65037614
0_2022_43,0.53902394
0_2022_44,0.520424
0_2022_45,0.79389733
0_2022_46,0.56742316
0_2022_47,0.47341403
0_2022_48,0.6926864
0_2022_49,0.93621266
0_2022_50,0.66433483
0_2022_51,0.6664787
0_2022_52,0.5466845
1_2022_01,0.46430925
1_2022_02,1.0286782
1_2022_03,0.79516953
1_2022_04,0.5942871
1_2022_05,0.92451745
1_2022_06,1.4250255
1_2022_07,1.1251628
1_2022_08,1.1433864
1_2022_09,0.85271776
1_2022_10,1.2329482
1_2022_11,0.7484315
1_2022_12,1.1613603
1_2022_13,0.86688715
1_2022_14,0.834783
1_2022_15,0.74988264
1_2022_16,0.8104785
1_2022_17,0.94883096
1_2022_18,0.71029097
1_2022_19,0.70064205
1_2022_20,0.6899484
1_2022_21,0.8137327
1_2022_22,0.6426762
1_2022_23,0.5617553
1_2022_24,0.86782855
1_2022_25,0.76550126
1_2022_26,0.68162304
1_2022_27,0.50024587
1_2022_28,0.49069723
1_2022_29,0.5072755
1_2022_30,0.53848064
1_2022_31,0.50501317
1_2022_32,0.5571231
1_2022_33,0.45787147
1_2022_34,0.48889
1_2022_35,0.47335818
1_2022_36,0.5218382
1_2022_37,0.43800142
1_2022_38,0.46048856
1_2022_39,0.42651913
1_2022_40,0.5426232
1_2022_41,0.4025416
1_2022_42,0.4483632
1_2022_43,0.3826198
1_2022_44,0.36772305
1_2022_45,0.45649055
1_2022_46,0.4285361
1_2022_47,0.38053522
1_2022_48,0.49173447
1_2022_49,0.7303094
1_2022_50,0.4591227
1_2022_51,0.48876926
1_2022_52,0.5018772
2_2022_01,0.5332473
2_2022_02,0.7897273
2_2022_03,0.8133408
2_2022_04,0.6705623
2_2022_05,0.8235282
2_2022_06,0.98876137
2_2022_07,0.7129962
2_2022_08,1.5793267
2_2022_09,1.5367036
2_2022_10,1.827523
2_2022_11,0.7969448
2_2022_12,1.2654715
2_2022_13,1.0586635
2_2022_14,1.1850486
2_2022_15,1.2686671
2_2022_16,1.6536009
2_2022_17,1.7286322
2_2022_18,1.4423125
2_2022_19,1.1860152
2_2022_20,1.0663998
2_2022_21,1.0619905
2_2022_22,0.92859846
2_2022_23,0.95532954
2_2022_24,0.694262
2_2022_25,0.95730746
2_2022_26,0.9153506
2_2022_27,0.9099035
2_2022_28,0.5379228
2_2022_29,0.6629603
2_2022_30,1.0169568
2_2022_31,0.57393235
2_2022_32,0.38588423
2_2022_33,0.49279
2_2022_34,0.6395045
2_2022_35,0.5292523
2_2022_36,0.5065863
2_2022_37,0.66461736
2_2022_38,0.50250775
2_2022_39,0.44979522
2_2022_40,0.5741097
2_2022_41,0.47636855
2_2022_42,0.722634
2_2022_43,0.5255478
2_2022_44,0.4256707
2_2022_45,0.74481696
2_2022_46,0.47621706
2_2022_47,0.49118707
2_2022_48,0.6338251
2_2022_49,0.9722888
2_2022_50,0.6814213
2_2022_51,0.8608969
2_2022_52,0.5358954
3_2022_01,0.6529235
3_2022_02,1.0851743
3_2022_03,1.4954994
3_2022_04,1.2299032
3_2022_05,1.4762279
3_2022_06,1.402524
3_2022_07,1.3639266
3_2022_08,0.9506847
3_2022_09,0.93393713
3_2022_10,1.1262729
3_2022_11,0.68344253
3_2022_12,1.0064651
3_2022_13,0.9852711
3_2022_14,1.0579396
3_2022_15,1.1710885
3_2022_16,1.041368
3_2022_17,1.2355841
3_2022_18,1.0408759
3_2022_19,1.1386762
3_2022_20,0.82360977
3_2022_21,1.0543458
3_2022_22,0.8317203
3_2022_23,1.318414
3_2022_24,0.8475084
3_2022_25,1.0748153
3_2022_26,0.79283136
3_2022_27,0.8616109
3_2022_28,0.63878685
3_2022_29,0.8168714
3_2022_30,0.6109506
3_2022_31,0.73435116
3_2022_32,0.598086
3_2022_33,0.6365806
3_2022_34,0.56000984
3_2022_35,0.5874283
3_2022_36,0.5928269
3_2022_37,0.6971888
3_2022_38,0.5720342
3_2022_39,0.49216032
3_2022_40,0.523321
3_2022_41,0.43291
3_2022_42,0.5800354
3_2022_43,0.4353771
3_2022_44,0.48007926
3_2022_45,0.5345556
3_2022_46,0.4859715
3_2022_47,0.41328433
3_2022_48,0.6473507
3_2022_49,0.79576534
3_2022_50,0.6578653
3_2022_51,0.6051208
3_2022_52,0.5426274
4_2022_01,0.64405453
4_2022_02,1.1147296
4_2022_03,0.9764196
4_2022_04,0.70111287
4_2022_05,0.8235641
4_2022_06,0.97130775
4_2022_07,0.9090679
4_2022_08,0.7224464
4_2022_09,0.6264122
4_2022_10,1.0096303
4_2022_11,0.5694844
4_2022_12,1.0914298
4_2022_13,0.64657444
4_2022_14,0.6283855
4_2022_15,0.68936324
4_2022_16,0.64290315
4_2022_17,0.737245
4_2022_18,0.53589267
4_2022_19,0.5168718
4_2022_20,0.8088735
4_2022_21,0.6269044
4_2022_22,0.69785815
4_2022_23,0.5005656
4_2022_24,0.5769343
4_2022_25,0.6543236
4_2022_26,0.63068974
4_2022_27,0.44642636
4_2022_28,0.39774743
4_2022_29,0.41322747
4_2022_30,0.40244168
4_2022_31,0.39013758
4_2022_32,0.4020569
4_2022_33,0.47263512
4_2022_34,0.4878711
4_2022_35,0.43719712
4_2022_36,0.35592458
4_2022_37,0.40099064
4_2022_38,0.46737483
4_2022_39,0.43256137
4_2022_40,0.4639767
4_2022_41,0.36873788
4_2022_42,0.44530243
4_2022_43,0.4548947
4_2022_44,0.44999903
4_2022_45,0.6434429
4_2022_46,0.4278257
4_2022_47,0.57367384
4_2022_48,0.7044198
4_2022_49,0.7889426
4_2022_50,0.50679463
4_2022_51,0.5223169
4_2022_52,0.5450256
5_2022_01,0.5874278
5_2022_02,1.0522625
5_2022_03,1.178434
5_2022_04,1.0732331
5_2022_05,1.1115463
5_2022_06,1.3595142
5_2022_07,1.1749083
5_2022_08,0.9828539
5_2022_09,0.827519
5_2022_10,1.209842
5_2022_11,0.5693027
5_2022_12,0.8784201
5_2022_13,0.92708695
5_2022_14,0.74480337
5_2022_15,0.8825285
5_2022_16,0.775392
5_2022_17,0.8975974
5_2022_18,0.7028524
5_2022_19,0.6917152
5_2022_20,0.64605826
5_2022_21,0.7755737
5_2022_22,0.77512044
5_2022_23,0.5495598
5_2022_24,0.6178704
5_2022_25,0.6775642
5_2022_26,0.6953111
5_2022_27,0.51174396
5_2022_28,0.46536675
5_2022_29,0.46962774
5_2022_30,0.4515917
5_2022_31,0.44067338
5_2022_32,0.45729277
5_2022_33,0.3828218
5_2022_34,0.4887113
5_2022_35,0.4400331
5_2022_36,0.4912762
5_2022_37,0.47695515
5_2022_38,0.43463653
5_2022_39,0.47522932
5_2022_40,0.49893236
5_2022_41,0.39415133
5_2022_42,0.5402588
5_2022_43,0.3732758
5_2022_44,0.7331846
5_2022_45,0.46885118
5_2022_46,0.46443105
5_2022_47,0.4658276
5_2022_48,0.89456713
5_2022_49,1.1273348
5_2022_50,0.6138504
5_2022_51,0.6391632
5_2022_52,0.6783729
6_2022_01,0.7017969
6_2022_02,1.0647067
6_2022_03,1.1964384
6_2022_04,0.8461072
6_2022_05,0.9645999
6_2022_06,0.9374893
6_2022_07,0.92418224
6_2022_08,0.8546118
6_2022_09,0.7282594
6_2022_10,0.99775094
6_2022_11,0.5280252
6_2022_12,0.6960801
6_2022_13,0.7341694
6_2022_14,0.6848255
6_2022_15,0.78145784
6_2022_16,0.7870455
6_2022_17,0.97402734
6_2022_18,0.72702855
6_2022_19,0.5746438
6_2022_20,0.6806283
6_2022_21,0.5848466
6_2022_22,0.66100544
6_2022_23,0.5631062
6_2022_24,0.514206
6_2022_25,0.8587616
6_2022_26,0.62888163
6_2022_27,0.47539312
6_2022_28,0.40763077
6_2022_29,0.4807902
6_2022_30,0.43831837
6_2022_31,0.4482453
6_2022_32,0.4377783
6_2022_33,0.46592525
6_2022_34,0.46669173
6_2022_35,0.49664834
6_2022_36,0.43375573
6_2022_37,0.4216238
6_2022_38,0.42730767
6_2022_39,0.4139334
6_2022_40,0.52661675
6_2022_41,0.38774425
6_2022_42,0.4151186
6_2022_43,0.37179133
6_2022_44,0.40740478
6_2022_45,0.44562522
6_2022_46,0.41740084
6_2022_47,0.40331766
6_2022_48,0.43713954
6_2022_49,0.7497534
6_2022_50,0.45840678
6_2022_51,0.53070694
6_2022_52,0.4958154
7_2022_01,0.8743317
7_2022_02,1.2777066
7_2022_03,0.9991751
7_2022_04,0.94297403
7_2022_05,1.2288984
7_2022_06,1.5692301
7_2022_07,1.2207546
7_2022_08,1.4540963
7_2022_09,1.1061493
7_2022_10,1.0266339
7_2022_11,0.72004277
7_2022_12,1.2969986
7_2022_13,1.2301257
7_2022_14,1.1269336
7_2022_15,1.0843706
7_2022_16,0.94522434
7_2022_17,0.8438087
7_2022_18,1.2665591
7_2022_19,1.0671092
7_2022_20,0.98225564
7_2022_21,0.8600431
7_2022_22,0.74108595
7_2022_23,0.8719609
7_2022_24,0.80893606
7_2022_25,0.74076915
7_2022_26,0.81581295
7_2022_27,0.94346905
7_2022_28,0.65250343
7_2022_29,0.60333854
7_2022_30,0.46766505
7_2022_31,0.5711855
7_2022_32,0.48008528
7_2022_33,0.5999843
7_2022_34,0.571948
7_2022_35,0.511999
7_2022_36,0.51021504
7_2022_37,0.6420342
7_2022_38,0.45890453
7_2022_39,0.5285086
7_2022_40,0.5228772
7_2022_41,0.4767594
7_2022_42,0.58494675
7_2022_43,0.84963757
7_2022_44,0.4810958
7_2022_45,0.68600076
7_2022_46,0.5434384
7_2022_47,0.4463828
7_2022_48,0.74506176
